institute_type,department,program,academic_year,semester,course_title,course_type,topics,tools_technologies,programming_languages,math_foundation,bloom_level,credits,project_required,generation_method,is_synthetic
IIIT,AI,B.Tech,2020-2021,3,Applied HDFS,Elective,HDFS;SQL;Transformers;Cloud Computing;Deployment;Trees,Scikit-learn;PyTorch;SQL,Java,Statistics,Understand,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,8,Applied Clustering,Core,Clustering;Trees;Embeddings;HDFS,SQL;Python,Python,Basic Math,Apply,4,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,6,Foundations of Tokenization,Core,Tokenization;Data Pipelines;Classification,Python;OpenCV;PyTorch,Python,Logic,Apply,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,1,Applied Linked Lists,Core,Linked Lists;Regression;Neural Networks;Embeddings,AWS;Spark,C++,Statistics,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,4,Introduction to Spark,Core,Spark;Dynamic Programming;Cloud Computing;Regression;Deployment;Embeddings,Python;NLTK,Python,Linear Algebra,Create,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2019-2020,2,Advanced Classification,Elective,Classification;Embeddings;Data Pipelines,Pandas;Python,Python,Logic,Understand,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,2,Introduction to Tokenization,Elective,Tokenization;Data Pipelines;Dynamic Programming,Git;Pandas;C++,Java,Discrete Math,Create,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,8,Foundations of Transformers,Elective,Transformers;Cloud Computing;EDA;Visualization;Graphs;Indexing,Scikit-learn,Python,Logic,Create,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,1,Applied Cloud Computing,Elective,Cloud Computing;Embeddings;Graphs,C++;PyTorch;OpenCV,Java,Discrete Math,Apply,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,5,Introduction to Image Processing,Core,Image Processing;Indexing;Cloud Computing;Transformers;Spark,OpenCV;PyTorch,Java,Logic,Create,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,6,Applied Visualization,Core,Visualization;Dynamic Programming;Data Pipelines;Graphs;Clustering;Normalization,Python;Java;SQL,Python,Linear Algebra,Create,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,2,Foundations of Tokenization,Core,Tokenization;Spark;Indexing;Trees,Scikit-learn,Python,Statistics,Create,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,5,Applied Deployment,Core,Deployment;Regression;HDFS,Docker;C++,C++,Logic,Apply,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,1,Introduction to Clustering,Elective,Clustering;HDFS;Arrays;Regression;Trees,HuggingFace;PyTorch,Python,Linear Algebra,Understand,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,2,Advanced Image Processing,Core,Image Processing;CNN;Visualization,Spark;AWS;TensorFlow,Java,Statistics,Understand,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,7,Applied Image Processing,Elective,Image Processing;Trees;Embeddings,TensorFlow;Java,Java,Logic,Create,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,6,Advanced Data Pipelines,Elective,Data Pipelines;Normalization;Cloud Computing;Arrays;Tokenization;Graphs,Java;PyTorch,Java,Probability,Understand,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,5,Introduction to CNN,Elective,CNN;Trees;SQL;Data Pipelines,Pandas;TensorFlow;Java,Java,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,4,Applied Visualization,Core,Visualization;Classification;Clustering;EDA;Neural Networks;Deployment,SQL,C++,Discrete Math,Understand,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,8,Applied Deployment,Elective,Deployment;Image Processing;Linked Lists,TensorFlow;AWS,C++,Logic,Analyze,4,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,3,Advanced Embeddings,Elective,Embeddings;Indexing;Tokenization,C++;Git;TensorFlow,C++,Basic Math,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,1,Advanced Data Pipelines,Elective,Data Pipelines;Classification;SQL,Java;TensorFlow;Pandas,C++,Probability,Create,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,6,Introduction to Tokenization,Core,Tokenization;Indexing;Classification;EDA,TensorFlow;Pandas,Python,Linear Algebra,Apply,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,5,Introduction to Image Processing,Core,Image Processing;Indexing;SQL;Classification,HuggingFace,C++,Statistics,Create,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,6,Advanced CNN,Elective,CNN;Neural Networks;Image Processing;Cloud Computing;Linked Lists;SQL,NLTK,Java,Basic Math,Understand,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,6,Advanced Transformers,Core,Transformers;Image Processing;Neural Networks;Arrays;Indexing,TensorFlow,Java,Probability,Analyze,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,8,Introduction to Trees,Core,Trees;SQL;Spark;CNN;Normalization;Dynamic Programming,OpenCV,C++,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,6,Introduction to EDA,Elective,EDA;Neural Networks;Spark;HDFS;SQL,Spark;Docker,C++,Linear Algebra,Understand,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,4,Foundations of Visualization,Core,Visualization;EDA;Trees;Classification;Regression,Java;Spark,Java,Logic,Understand,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,3,Introduction to HDFS,Core,HDFS;SQL;CNN,SQL,C++,Logic,Apply,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,6,Introduction to Tokenization,Elective,Tokenization;Normalization;Image Processing;Neural Networks;Dynamic Programming,Git;Python;AWS,Python,Probability,Create,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2019-2020,2,Applied CNN,Elective,CNN;Transformers;Indexing;Neural Networks;Dynamic Programming;Deployment,C++,Java,Logic,Understand,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,8,Applied Arrays,Core,Arrays;Deployment;Indexing;CNN;Spark,HuggingFace,Java,Logic,Create,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,3,Applied SQL,Elective,SQL;Clustering;Neural Networks;Trees;Indexing;Visualization,HuggingFace;Spark;AWS,Python,Basic Math,Analyze,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,2,Introduction to Dynamic Programming,Core,Dynamic Programming;CNN;Graphs;HDFS,AWS;Docker,Java,Discrete Math,Apply,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,1,Advanced Graphs,Core,Graphs;CNN;Neural Networks;Dynamic Programming,Docker;NLTK;C++,Java,Linear Algebra,Analyze,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,8,Foundations of Normalization,Elective,Normalization;EDA;Linked Lists;RNN;Trees,C++,C++,Linear Algebra,Analyze,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,1,Foundations of Deployment,Core,Deployment;EDA;Clustering,HuggingFace;Docker,Java,Basic Math,Understand,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,4,Introduction to SQL,Elective,SQL;Data Pipelines;CNN;RNN;Regression;Linked Lists,Spark;Git;Pandas,C++,Probability,Understand,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,2,Foundations of HDFS,Elective,HDFS;Indexing;RNN;Arrays,HuggingFace,C++,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,8,Applied Transformers,Core,Transformers;Deployment;Trees;Clustering,Docker,C++,Probability,Apply,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,2,Advanced Tokenization,Core,Tokenization;Clustering;RNN;Image Processing,HuggingFace;TensorFlow;Spark,Python,Statistics,Analyze,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,5,Advanced Tokenization,Elective,Tokenization;EDA;Normalization,Scikit-learn;Git;NLTK,Java,Basic Math,Create,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,3,Introduction to Embeddings,Core,Embeddings;Dynamic Programming;Normalization,Pandas;Scikit-learn,Python,Logic,Create,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,1,Advanced Deployment,Elective,Deployment;Spark;Clustering;RNN;Visualization,OpenCV,Python,Linear Algebra,Analyze,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2021-2022,6,Foundations of Graphs,Core,Graphs;Embeddings;Data Pipelines,C++,C++,Statistics,Apply,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,7,Foundations of Embeddings,Core,Embeddings;Spark;EDA;Cloud Computing;Neural Networks;Linked Lists,SQL;AWS,Python,Statistics,Understand,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,1,Foundations of Image Processing,Core,Image Processing;Visualization;Indexing;Transformers;EDA,Pandas,Java,Discrete Math,Apply,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2018-2019,2,Introduction to Image Processing,Core,Image Processing;SQL;Classification;Embeddings,SQL;AWS;OpenCV,Python,Logic,Analyze,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,7,Introduction to Regression,Elective,Regression;Image Processing;SQL,TensorFlow;OpenCV;Python,Python,Probability,Analyze,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,7,Applied Spark,Elective,Spark;Clustering;Cloud Computing;Image Processing;Classification,HuggingFace;Git,Java,Statistics,Understand,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2018-2019,5,Applied Embeddings,Core,Embeddings;Dynamic Programming;CNN,Scikit-learn,Python,Probability,Apply,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,8,Introduction to Dynamic Programming,Core,Dynamic Programming;Neural Networks;Transformers;Cloud Computing;Clustering,Scikit-learn,Python,Discrete Math,Analyze,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,8,Foundations of Spark,Core,Spark;HDFS;CNN,NLTK,Java,Probability,Create,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,2,Foundations of Visualization,Elective,Visualization;HDFS;Spark;Arrays,HuggingFace;OpenCV;PyTorch,Python,Logic,Apply,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,4,Foundations of Linked Lists,Core,Linked Lists;Data Pipelines;Visualization;SQL,HuggingFace;AWS,Java,Probability,Create,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,6,Foundations of Tokenization,Elective,Tokenization;Cloud Computing;Visualization,Git,Python,Statistics,Apply,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,4,Introduction to SQL,Elective,SQL;HDFS;Cloud Computing;Classification;Image Processing;Spark,Git;SQL;Pandas,Python,Logic,Understand,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,7,Introduction to Transformers,Core,Transformers;Deployment;Classification;RNN;Visualization;Spark,C++;HuggingFace;Scikit-learn,Java,Discrete Math,Apply,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,6,Foundations of Deployment,Elective,Deployment;Visualization;Trees;Graphs,C++;SQL;AWS,Python,Discrete Math,Analyze,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,1,Advanced Classification,Core,Classification;Visualization;Image Processing;Embeddings;Deployment,Git;Docker,Java,Logic,Understand,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,1,Applied Classification,Elective,Classification;EDA;Spark;Neural Networks;Linked Lists,OpenCV;C++,C++,Discrete Math,Analyze,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,4,Foundations of Embeddings,Core,Embeddings;EDA;Graphs;RNN;Tokenization;Spark,Java;Python;SQL,Python,Linear Algebra,Analyze,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,7,Applied Arrays,Elective,Arrays;Transformers;Data Pipelines;HDFS,SQL;Git,C++,Logic,Analyze,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,6,Advanced Data Pipelines,Elective,Data Pipelines;Dynamic Programming;Trees;SQL;Embeddings;Spark,OpenCV;SQL;PyTorch,Java,Logic,Analyze,4,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,3,Advanced HDFS,Elective,HDFS;Dynamic Programming;Cloud Computing;Image Processing,HuggingFace;SQL;Python,Python,Linear Algebra,Apply,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,2,Introduction to RNN,Elective,RNN;Dynamic Programming;Visualization;Arrays,Spark;PyTorch,C++,Linear Algebra,Understand,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,1,Introduction to Spark,Elective,Spark;Cloud Computing;Clustering;Data Pipelines;Arrays,Java;NLTK,C++,Statistics,Create,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,3,Advanced Clustering,Core,Clustering;Linked Lists;Indexing;Deployment,Spark,C++,Discrete Math,Apply,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,8,Applied Normalization,Elective,Normalization;Clustering;Indexing;SQL;Deployment,AWS,Python,Basic Math,Understand,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,8,Advanced Linked Lists,Elective,Linked Lists;Clustering;Embeddings;Image Processing;SQL;Deployment,PyTorch;Git;HuggingFace,Java,Statistics,Analyze,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2021-2022,3,Advanced CNN,Core,CNN;Spark;Linked Lists;Embeddings;Dynamic Programming;Normalization,Docker;Java;NLTK,Java,Statistics,Analyze,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,3,Foundations of Cloud Computing,Core,Cloud Computing;EDA;Classification;Normalization;Trees;Neural Networks,NLTK;OpenCV,C++,Basic Math,Create,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,2,Advanced Visualization,Core,Visualization;Embeddings;Spark;Regression;SQL;Image Processing,C++;HuggingFace,C++,Linear Algebra,Understand,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,5,Introduction to CNN,Elective,CNN;HDFS;Regression;Graphs;Dynamic Programming;Classification,AWS,Java,Logic,Understand,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,4,Foundations of Cloud Computing,Core,Cloud Computing;Data Pipelines;Tokenization;Normalization,Docker;Java,Python,Probability,Apply,3,No,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,3,Applied HDFS,Elective,HDFS;Transformers;Linked Lists,Pandas,C++,Discrete Math,Understand,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,3,Applied Spark,Core,Spark;Data Pipelines;EDA;Cloud Computing;Image Processing,Docker,C++,Probability,Analyze,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,2,Advanced Image Processing,Core,Image Processing;Trees;CNN;Tokenization;Dynamic Programming;Graphs,Pandas;Scikit-learn;TensorFlow,Python,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,2,Applied Visualization,Core,Visualization;EDA;Spark;CNN;Indexing;Deployment,Scikit-learn;Git,Python,Logic,Create,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,8,Foundations of Regression,Core,Regression;Spark;Clustering;CNN;Classification;Arrays,C++,Python,Statistics,Create,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,6,Applied Arrays,Elective,Arrays;HDFS;Classification;EDA,Scikit-learn;HuggingFace,C++,Discrete Math,Analyze,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2021-2022,1,Introduction to Classification,Core,Classification;RNN;Data Pipelines;Tokenization,HuggingFace;C++,Python,Statistics,Analyze,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,7,Advanced Embeddings,Elective,Embeddings;CNN;Cloud Computing,OpenCV;TensorFlow;Git,Java,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,1,Applied SQL,Core,SQL;HDFS;Image Processing;Regression;Cloud Computing,PyTorch;Python;AWS,Python,Probability,Create,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2021-2022,4,Foundations of Normalization,Elective,Normalization;CNN;Classification;Embeddings;Regression,TensorFlow,Python,Discrete Math,Create,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,4,Advanced Tokenization,Core,Tokenization;Visualization;Embeddings;CNN;Deployment,Python;HuggingFace,Python,Basic Math,Understand,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,2,Foundations of CNN,Elective,CNN;Linked Lists;Data Pipelines,Pandas;Java;TensorFlow,C++,Logic,Analyze,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2019-2020,6,Applied Classification,Core,Classification;CNN;Neural Networks;Image Processing,HuggingFace;Docker,C++,Probability,Understand,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,2,Advanced Image Processing,Core,Image Processing;Transformers;RNN;Neural Networks,NLTK,C++,Probability,Analyze,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2021-2022,1,Introduction to Arrays,Elective,Arrays;Tokenization;Data Pipelines;Linked Lists,PyTorch,C++,Basic Math,Create,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,5,Advanced Classification,Core,Classification;EDA;Deployment;Data Pipelines;Image Processing,Spark,Python,Statistics,Understand,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,8,Applied Clustering,Elective,Clustering;Deployment;Dynamic Programming;Spark;Neural Networks;Transformers,Python;NLTK,Python,Statistics,Understand,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,2,Foundations of Tokenization,Elective,Tokenization;Normalization;Regression;CNN;Deployment,AWS;Spark,Python,Discrete Math,Analyze,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,2,Advanced Image Processing,Elective,Image Processing;Normalization;SQL;Cloud Computing;Indexing,AWS,Java,Discrete Math,Analyze,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,7,Introduction to Cloud Computing,Elective,Cloud Computing;RNN;Image Processing;Clustering;Regression;Trees,Spark;NLTK;AWS,Python,Discrete Math,Create,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,7,Foundations of Spark,Core,Spark;Graphs;Data Pipelines,HuggingFace;Pandas;PyTorch,C++,Linear Algebra,Understand,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,3,Applied Image Processing,Elective,Image Processing;CNN;SQL;Spark;Cloud Computing;Normalization,SQL,Java,Basic Math,Analyze,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,1,Foundations of Dynamic Programming,Elective,Dynamic Programming;CNN;Linked Lists;Transformers;Image Processing;EDA,NLTK,C++,Linear Algebra,Create,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,7,Introduction to EDA,Elective,EDA;SQL;Indexing;Image Processing;Classification,Python;Docker;Spark,Python,Statistics,Apply,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,3,Foundations of Arrays,Core,Arrays;Trees;HDFS;Dynamic Programming,Spark;Docker;OpenCV,Python,Statistics,Create,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,7,Introduction to Normalization,Core,Normalization;Embeddings;Indexing;Image Processing,PyTorch;TensorFlow,Python,Statistics,Apply,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,5,Introduction to Image Processing,Core,Image Processing;Cloud Computing;Transformers;Linked Lists;Data Pipelines;Visualization,NLTK;TensorFlow,C++,Basic Math,Analyze,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,2,Applied Clustering,Core,Clustering;Tokenization;HDFS,OpenCV;Spark;Java,Java,Logic,Understand,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2021-2022,8,Applied Indexing,Core,Indexing;Transformers;CNN;Regression;Linked Lists,Spark;AWS;NLTK,Python,Statistics,Apply,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,5,Applied CNN,Core,CNN;Tokenization;Trees,Git,Python,Probability,Analyze,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,2,Advanced Cloud Computing,Elective,Cloud Computing;Visualization;Dynamic Programming;Data Pipelines,TensorFlow;HuggingFace,C++,Logic,Understand,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,3,Advanced Tokenization,Core,Tokenization;Deployment;Indexing;SQL,OpenCV,Python,Basic Math,Analyze,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,5,Advanced Linked Lists,Elective,Linked Lists;Regression;Normalization,Docker;Scikit-learn,Python,Basic Math,Create,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,3,Introduction to Arrays,Elective,Arrays;CNN;Normalization;SQL;RNN;Embeddings,C++;Java;Git,Java,Probability,Analyze,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,7,Foundations of Deployment,Core,Deployment;Data Pipelines;Clustering;Visualization;Cloud Computing;Classification,TensorFlow;OpenCV;NLTK,C++,Discrete Math,Create,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,2,Advanced Transformers,Core,Transformers;Clustering;CNN;Neural Networks;Classification;Linked Lists,AWS,Python,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,7,Introduction to Graphs,Elective,Graphs;EDA;Regression;Neural Networks,Docker;OpenCV,Java,Basic Math,Analyze,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,2,Advanced Deployment,Elective,Deployment;Linked Lists;SQL;RNN;Neural Networks,Python;Docker,Python,Linear Algebra,Create,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,7,Applied Spark,Elective,Spark;HDFS;Graphs;Normalization,Scikit-learn;Java;C++,C++,Statistics,Apply,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,1,Foundations of Data Pipelines,Elective,Data Pipelines;SQL;Neural Networks,NLTK,Java,Statistics,Create,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,2,Applied Arrays,Elective,Arrays;SQL;EDA;Deployment,Java;AWS,Java,Discrete Math,Understand,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,6,Advanced Normalization,Elective,Normalization;Deployment;CNN,SQL;Python;Git,Python,Basic Math,Create,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,6,Advanced Trees,Elective,Trees;HDFS;Normalization;Classification;Dynamic Programming;Linked Lists,C++,Java,Discrete Math,Analyze,4,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,8,Introduction to Linked Lists,Core,Linked Lists;RNN;Visualization,PyTorch,Python,Logic,Apply,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2018-2019,3,Foundations of HDFS,Elective,HDFS;Arrays;Tokenization;Spark;Linked Lists;Clustering,OpenCV;Python;C++,Python,Discrete Math,Create,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,2,Applied Graphs,Elective,Graphs;Tokenization;Spark,SQL;Java;HuggingFace,Java,Discrete Math,Apply,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,4,Introduction to Cloud Computing,Core,Cloud Computing;Regression;RNN,Java,Python,Probability,Apply,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,1,Foundations of Graphs,Core,Graphs;HDFS;Spark;SQL,C++,C++,Discrete Math,Analyze,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,8,Foundations of Classification,Core,Classification;Dynamic Programming;HDFS;Neural Networks,Docker;PyTorch;SQL,Python,Statistics,Understand,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,5,Applied Indexing,Core,Indexing;Arrays;Image Processing;Clustering;Classification,Git,Java,Basic Math,Apply,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,4,Foundations of Dynamic Programming,Elective,Dynamic Programming;Data Pipelines;Tokenization,Python;Spark,Python,Probability,Apply,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,6,Foundations of Linked Lists,Core,Linked Lists;Graphs;Deployment;Image Processing;Regression;HDFS,Docker,Python,Statistics,Analyze,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,6,Advanced Deployment,Elective,Deployment;Graphs;RNN;Clustering,SQL,C++,Discrete Math,Create,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2021-2022,1,Applied Dynamic Programming,Elective,Dynamic Programming;Classification;Spark;Normalization;Regression;SQL,Python;Docker,Python,Linear Algebra,Analyze,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,1,Advanced Dynamic Programming,Core,Dynamic Programming;Graphs;Normalization;Indexing;Regression,SQL;Scikit-learn,C++,Statistics,Create,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,8,Foundations of Neural Networks,Elective,Neural Networks;Arrays;Indexing;Clustering;Data Pipelines;RNN,AWS;SQL,C++,Discrete Math,Create,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,1,Introduction to Embeddings,Core,Embeddings;SQL;Tokenization;Graphs;Normalization;EDA,Java,C++,Probability,Analyze,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,2,Foundations of Tokenization,Elective,Tokenization;Data Pipelines;CNN,NLTK,Java,Linear Algebra,Create,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,6,Applied EDA,Core,EDA;HDFS;Arrays;Visualization;Trees;SQL,TensorFlow;Git;C++,Python,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,6,Advanced Graphs,Core,Graphs;SQL;Transformers,AWS;C++,Python,Basic Math,Apply,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,4,Applied HDFS,Elective,HDFS;Tokenization;Visualization,Pandas;NLTK;SQL,Java,Logic,Create,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,2,Applied Transformers,Elective,Transformers;Normalization;Tokenization;Embeddings;Graphs,NLTK;Git,Python,Probability,Understand,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,2,Foundations of SQL,Core,SQL;Regression;CNN,Java,Java,Linear Algebra,Apply,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,1,Foundations of Indexing,Elective,Indexing;Data Pipelines;Image Processing;Dynamic Programming;Tokenization,PyTorch;Docker,C++,Discrete Math,Understand,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,6,Introduction to Cloud Computing,Elective,Cloud Computing;RNN;HDFS;EDA;Visualization;Tokenization,OpenCV;NLTK;Git,Python,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
